id,scam_type,message,description,language,target_info_requested,medium
4226,Phishing Scam (Link Sharing),Your SBI account is at risk. Click here to verify your info: http://chandran-sangha.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
4227,Fake Technical Support Scam,"This is Biju from Shanker, Saxena and Rao Support. Your device has malware. Please install TeamViewer and share the code.",Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
4228,Cryptocurrency Investment Scam,Invest ₹26257 in our crypto plan and get ₹42646 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
4229,Fake Technical Support Scam,This is Jivin from Chand-Trivedi Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
4230,Cryptocurrency Investment Scam,Invest ₹68746 in our crypto plan and get ₹26625 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
4231,Fake Charity/Donation Scam,We're raising funds for flood victims in Uttar Pradesh. Please donate what you can to UPI ID: ushroff@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
4232,Fake Discount/Refund Scam,"You are eligible for a ₹55150 refund from Bali, Bumb and Deo. Please share your bank details to process it.",Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
4233,UPI Scam,"Your ICICI account is blocked. To unblock, pay ₹48705 to UPI ID: krishbarad@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
4234,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
4235,UPI Scam,"Your SBI account is blocked. To unblock, pay ₹17928 to UPI ID: dalalhazel@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
4236,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹17016 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 7458988407.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
4237,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
4238,SIM Card Replacement Scam,"Hi, this is Jio support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
4239,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹36213 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to +916594554472.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
4240,Fake Discount/Refund Scam,You are eligible for a ₹58140 refund from Hari-Swamy. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
4241,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹30420 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to +919187431341.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
4242,Fake Charity/Donation Scam,We're raising funds for flood victims in Uttar Pradesh. Please donate what you can to UPI ID: rasha98@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
4243,Friend in Distress Scam,"Hey, it's Arhaan. I'm stuck in Panihati and need ₹13497 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
4244,Fake E-commerce Scam,Get iPhone 13 for just ₹14928. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
4245,Fake Discount/Refund Scam,You are eligible for a ₹48575 refund from Sehgal Ltd. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
4246,WhatsApp Account Hacking Scam,"Hey, this is Rhea. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
4247,Fake Job Offer Scam,"Hi, this is Ela from HR at Kar, Sarkar and Chada. You've been shortlisted for a remote role. Pay ₹906 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
4248,Cryptocurrency Investment Scam,Invest ₹79778 in our crypto plan and get ₹30776 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
4249,Phishing Scam (Link Sharing),Your SBI account is at risk. Click here to verify your info: http://loke.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
4250,UPI Scam,"Your ICICI account is blocked. To unblock, pay ₹50272 to UPI ID: sarajoshi@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
4251,UPI Scam,"Your HDFC account is blocked. To unblock, pay ₹9592 to UPI ID: jayeshbora@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
4252,Fake Discount/Refund Scam,You are eligible for a ₹78764 refund from Dayal-Dugar. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
4253,Tax Refund Scam,Your tax refund of ₹12072 is ready. Click here to verify your info: http://rana.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
4254,UPI Scam,"Your Axis account is blocked. To unblock, pay ₹56473 to UPI ID: akala@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
4255,Phishing Scam (Link Sharing),Your HDFC account is at risk. Click here to verify your info: http://vig.info,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
4256,Fake E-commerce Scam,Get Laptop for just ₹70806. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
4257,Friend in Distress Scam,"Hey, it's Jivin. I'm stuck in Kamarhati and need ₹3216 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
4258,Phishing Scam (Link Sharing),Your HDFC account is at risk. Click here to verify your info: http://sawhney.info,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
4259,WhatsApp Account Hacking Scam,"Hey, this is Nishith. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
4260,Fake Technical Support Scam,"This is Neelofar from Sandhu, Sur and Zachariah Support. Your device has malware. Please install TeamViewer and share the code.",Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
4261,SIM Card Replacement Scam,"Hi, this is Jio support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
4262,Fake Loan Approval Scam,You are pre-approved for a ₹35691 loan. Pay ₹770 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
4263,UPI Scam,"Your HDFC account is blocked. To unblock, pay ₹91276 to UPI ID: eyogi@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
4264,Fake E-commerce Scam,Get AirPods Pro for just ₹88474. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
4265,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
4266,Fake Technical Support Scam,"This is Samiha from Bava, Dhingra and Mannan Support. Your device has malware. Please install TeamViewer and share the code.",Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
4267,UPI Scam,"Your SBI account is blocked. To unblock, pay ₹99365 to UPI ID: fatehgandhi@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
